src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0196896434925055,0.2093105016054557,0.0518322433669158,0.052274111158798,0.0860777518913497
CTRPv2,0.0162456628995255,0.0046126972899646,0.0116628078721425,0.0252620805419196,0.0463934280479988
GDSCv1,0.0639719630733936,0.0413523414581782,0.0070765474562487,0.0390603890323946,0.0837478441157126
GDSCv2,0.0387949924563546,0.0443748307652577,0.0112501291928019,0.0108077744436279,0.0346595481990611
gCSI,0.3327559479842692,0.9922575498308166,0.5711909329099315,0.6250593758149334,0.0271266586765857
