src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.011840748000658,0.145456858623336,0.0722377795995566,0.075259609333506,0.0460449192378248
CTRPv2,0.008033013015574,0.005591969271351,0.0080786810608465,0.0103737447472918,0.0266319250790063
GDSCv1,0.0146578118179174,0.0236390295985267,0.0070910159063917,0.0129245403402061,0.0232020960713129
GDSCv2,0.0166692551055566,0.0233594176281155,0.0084971425033226,0.0072211224030835,0.0120706586358073
gCSI,0.0376557033779178,0.2613374610075652,0.141492770489117,0.1715536419542453,0.0245091695275048
