src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0489318876958375,0.5860497948096947,0.188499102169847,0.2672987267644604,0.4182350938817944
CTRPv2,0.0839891107527859,0.0632837754065527,0.0251536974944346,0.0404684548855649,0.1044444099652146
GDSCv1,0.0324464641305974,0.1228449278345533,0.0493000208396313,0.055255146206,0.0213675006254931
GDSCv2,0.0265509598768498,0.0809110885129345,0.0184378822653803,0.0521058093657793,0.0458977129793302
gCSI,0.0858518864591171,0.2135981599484029,0.074763615290332,0.0925640674940514,0.0610072094949009
