src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.7758,0.1005,0.1459,0.1633,0.4531
CTRPv2,0.6398,0.845,0.3783,0.5018,0.6829
GDSCv1,0.6023,0.2314,0.7678,0.444,0.6508
GDSCv2,0.4083,0.2264,0.3553,0.7875,0.6464
gCSI,0.2625,0.0371,0.0908,0.1132,0.8438
