src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.018914210641239153,0.014970700987417176,0.020721922461990575,0.03863737949756073,0.07615729017330329
CTRPv2,0.018304531142143584,0.0036953674289648963,0.015954174939937647,0.014708201452688205,0.07528543923559128
GDSCv1,0.024722958360790782,0.02160002444472303,0.004274328383312994,0.008979701642474266,0.01674324855568636
GDSCv2,0.024069122517110263,0.018734255665387296,0.027324527012771216,0.007459217667255457,0.02635476105625967
gCSI,0.026669260004747456,0.01498921381436861,0.01365805578157863,0.019763254170880748,0.013544102126232568
