src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0024154267735604206,0.002689417136680682,0.0012599319044279318,0.0012611725678551853,0.0034329334898113195
CTRPv2,0.0034621641096694938,0.0007008042824241836,0.0014108324325725276,0.0029506487194547893,0.003182855976795274
GDSCv1,0.013216382699399214,0.0031614667294341562,0.0007625722448419179,0.0047844329816708895,0.007707503683537333
GDSCv2,0.0024823402718892754,0.001405308738981071,0.0014121923612819536,0.0013870230374442656,0.003472865137334374
gCSI,0.008350715231716231,0.011832383514037184,0.00892233628934095,0.008954753277738701,0.0037593837487066508
