src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.02252745393841052,0.172746613687469,0.06258943818185023,0.09739302965506318,0.05958315212463597
CTRPv2,0.016738326083602595,0.004680596067345167,0.018039255271355147,0.03464426023423825,0.03538101807746763
GDSCv1,0.028221394981105142,0.08320349204331769,0.00796096381992617,0.062702250040172,0.06662585161026385
GDSCv2,0.08876926889285329,0.06182229959688983,0.01562612333858621,0.007223615378756161,0.04631687435907785
gCSI,0.09692103314840367,0.12291803982722156,0.05370488489165026,0.0667009544742763,0.020393671340243027
