src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.7133,0.0006,0.0416,0.0582,0.3234
CTRPv2,0.5906,0.8078,0.3449,0.4809,0.5849
GDSCv1,0.4881,0.2039,0.7131,0.4057,0.7186
GDSCv2,0.3123,0.1989,0.2972,0.7598,0.6506
gCSI,0.1831,-0.0279,0.0775,0.1038,0.781
