src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.01101767025445843,0.030570627122086094,0.02003242765205441,0.016853347914601934,0.018150097014160087
CTRPv2,0.009341802632105682,0.0031963405314207123,0.005219285670211607,0.010462083373126208,0.0096461853714606
GDSCv1,0.03774500126814965,0.02029901081646256,0.006288193100239176,0.0056572667450133585,0.008009370919316083
GDSCv2,0.014200028844696304,0.007453180650978591,0.0031248521403874933,0.007595694164665616,0.0057838513040132785
gCSI,0.02851883662836293,0.07269153290478075,0.05031508692187731,0.0522718468707696,0.019971594700291032
