src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0025022815565302566,0.0015273049875915528,0.0013143777684242268,0.001038048843356263,0.0016256270956240017
CTRPv2,0.0011320199705368084,0.0005979007445910429,0.000500440628140219,0.0010635185268685434,0.0013075382136765684
GDSCv1,0.004179743588806083,0.001451933972095313,0.0009011505481791726,0.0005372109481289938,0.0011320482182589971
GDSCv2,0.0011325448459108879,0.00046045521342867574,0.00027887773850731354,0.0009359322925919498,0.000815733182901947
gCSI,0.002302017326531356,0.003456532675947681,0.003377496394945091,0.003320182778663145,0.004036847735821151
