src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0005372293868113975,0.003606776521904647,0.0016745596652128795,0.002285499509046595,0.0021311228551059614
CTRPv2,0.00043480497455387814,0.00011554486688859166,0.0004826342933471148,0.0008129887738071514,0.001265480149557787
GDSCv1,0.0007330961809051526,0.0017372056981982337,0.00018863283204357493,0.001471419075784753,0.0023830205359146065
GDSCv2,0.002305924708919016,0.0012907877842377067,0.0004180717486297164,0.0001451909998048682,0.0016566251701022367
gCSI,0.0025176799126353337,0.002566405735567391,0.0014368563878647668,0.0015652557400032937,0.0009113041941963143
