src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0063,0.0265,0.03,0.0261,0.037
CTRPv2,0.011,0.0035,0.0226,0.0174,0.0345
GDSCv1,0.0184,0.0267,0.0074,0.0218,0.0298
GDSCv2,0.026,0.0233,0.0237,0.0054,0.0248
gCSI,0.0362,0.0565,0.0487,0.0453,0.0103
