src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.8954,0.133,0.1041,0.1989,0.3534
CTRPv2,0.7677,0.8858,0.533,0.6635,0.7242
GDSCv1,0.6939,0.4246,0.8339,0.6356,0.7733
GDSCv2,0.3694,0.2963,0.442,0.8745,0.7561
gCSI,0.3706,0.0755,0.1634,0.3111,0.8847
