src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.009776583195235269,0.01926139759795368,0.025316850215749174,0.040298614747961065,0.043445193042597134
CTRPv2,0.010390707606442725,0.0029765396686487837,0.019893724545863415,0.01393770994625562,0.054271533736699386
GDSCv1,0.03123531918023417,0.017312006058448823,0.0038388718659741476,0.0066200401607057705,0.010796427178136156
GDSCv2,0.027136853972985042,0.016973260670023284,0.023517799494129098,0.005037838866929405,0.01275886874375978
gCSI,0.031069159568105582,0.014304797728023932,0.020150400688293612,0.022614502617299883,0.014349206147783618
