src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.017624160093102807,0.037720544219697026,0.03138895537148811,0.0539093594071032,0.0940624247124967
CTRPv2,0.020907941267444854,0.005560562798913881,0.02834044136047358,0.02683462284052675,0.10550079359675048
GDSCv1,0.05122276080901801,0.03910833055234862,0.007104523179540511,0.013769984329504973,0.03211323541152339
GDSCv2,0.039579776023030006,0.025730187745452396,0.029555576586389805,0.008478470090299228,0.027770620936759326
gCSI,0.07231493519824761,0.14659340678481272,0.10208546250139663,0.11387436157023093,0.029451802909704887
