src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.003439526140544104,0.009782400844761622,0.004792496459333137,0.0067518088349411715,0.006041245506209357
CTRPv2,0.002013214237905696,0.0009187249658088558,0.0016106467910872307,0.003209658706565149,0.0043772368179210075
GDSCv1,0.003294680226873514,0.005189671542408241,0.0010604525440363053,0.0051208789482037045,0.007439418495427861
GDSCv2,0.007213081570207068,0.004053947433887984,0.0013830941416511826,0.0009652112574606417,0.005796755376136479
gCSI,0.0073430738904661464,0.006674095120390627,0.003914961234104747,0.004464691183227182,0.004544747562532762
