src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0014140959832000671,0.012236133580081743,0.005043230976212867,0.006272636870961085,0.014959100611435192
CTRPv2,0.0021817524035119985,0.0012880849883548583,0.0006729788360260517,0.00094966379113997,0.003735684689848656
GDSCv1,0.0008428491558954732,0.0025648792302831553,0.0012851487977567652,0.0012966596272174303,0.000764255789022791
GDSCv2,0.0006897039390900562,0.0016893426052227922,0.0004932994263959068,0.001294421444282364,0.0016416329388337391
gCSI,0.002230141002201319,0.004459715950309375,0.002000275737048993,0.0021721793804164082,0.0021214995161664666
