src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0003614230847544477,0.0006382841192089969,0.0005359609594986567,0.0003954935843051056,0.0006491782524085989
CTRPv2,0.0002426683669234562,8.020464674872201e-05,0.00013964025750105285,0.0002455112701347293,0.0003450170958848635
GDSCv1,0.0009804871905328067,0.0004238230438668033,0.0001626418588482866,0.00013275775909287686,0.0002864728167699273
GDSCv2,0.0003688686162310373,0.00015561495772124353,8.360438288075416e-05,0.00013852738741529814,0.00020687219901917373
gCSI,0.0007408227066772813,0.001517726504882806,0.0013461634671692634,0.0012266512376010708,0.0007004764611010884
