src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.007875710273319672,0.03165477681842041,0.013902234156220161,0.01761806330613508,0.03195260222411163
CTRPv2,0.00807166933991627,0.0075478367298428516,0.002208802693935284,0.003654990862096635,0.010747967794600225
GDSCv1,0.0032387853172767232,0.00881180230774359,0.00609362071892021,0.004980351819553336,0.00281631829836278
GDSCv2,0.0021858959386030666,0.005878669445482586,0.0016206017892732218,0.006621882606212344,0.005160153558838296
gCSI,0.006827669762055889,0.010948522304623268,0.005641290860282154,0.006549256363699364,0.008879273660884932
