src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.00044644379712040406,0.004370193932394326,0.001386754484799073,0.001226704373120074,0.0030787606534825747
CTRPv2,0.0004220072549882267,0.00010768320967488477,0.0003120345574771536,0.0005928193514519258,0.0016593632816368808
GDSCv1,0.0016617747579632234,0.0008633955312546936,0.00016009096724357226,0.0009166210382086296,0.0029954263629340875
GDSCv2,0.0010077624024977963,0.0009265020850549512,0.0003009934762469661,0.0001920349719711701,0.0012396751880491025
gCSI,0.008643871601813614,0.020717345237732065,0.015282024015094145,0.01466812257108728,0.0006636054837578448
