src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.011840748000658074,0.145456858623336,0.07223777959955661,0.07525960933350603,0.04604491923782487
CTRPv2,0.008033013015574018,0.005591969271351,0.008078681060846535,0.010373744747291849,0.026631925079006396
GDSCv1,0.014657811817917489,0.02363902959852675,0.007091015906391763,0.012924540340206188,0.023202096071312912
GDSCv2,0.01666925510555669,0.02335941762811552,0.008497142503322681,0.007221122403083579,0.012070658635807347
gCSI,0.03765570337791789,0.2613374610075652,0.14149277048911704,0.17155364195424533,0.02450916952750487
