src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.7659,-0.6201,-0.1386,-0.2136,0.0733
CTRPv2,0.5553,0.8113,0.153,0.3208,0.4012
GDSCv1,0.5246,-0.3413,0.7041,0.108,0.2255
GDSCv2,-0.0014,-0.185,0.1506,0.7597,0.4129
gCSI,-0.1487,-0.7832,-0.2529,-0.3016,0.7196
