src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0811,0.1749,0.1794,0.1743,0.2217
CTRPv2,0.1022,0.0551,0.1505,0.1286,0.1662
GDSCv1,0.1157,0.1565,0.0844,0.1373,0.1457
GDSCv2,0.1363,0.1473,0.1517,0.0742,0.1481
gCSI,0.1569,0.21,0.1982,0.1991,0.0969
