src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.01841479769194913,0.010188404827721625,0.009890822604432232,0.012186509608986405,0.020419907846846292
CTRPv2,0.017144366434130982,0.0034746986591434837,0.008932451867725677,0.012671633193938162,0.016011022817037906
GDSCv1,0.020883427467619037,0.013399879419615348,0.003483970551537984,0.019307246014985426,0.01543831202057095
GDSCv2,0.02867953809431719,0.013042380556832434,0.00719709603069475,0.006518214446449077,0.017155693723051865
gCSI,0.026171587534849772,0.01202518167653053,0.015088888097306104,0.013083793711739405,0.014510231657088863
