src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.01790963386802097,0.010630948487430396,0.015891317428123344,0.014188982915927276,0.03242247356688069
CTRPv2,0.004841722309350605,0.003832512722227924,0.0034865713371935417,0.003133591408355345,0.019061586207030533
GDSCv1,0.009012883405724391,0.005856757629985967,0.003928749944859258,0.004893819131624216,0.004079020070445293
GDSCv2,0.020171736884935145,0.005763112873481302,0.005115000580291229,0.005498517436885456,0.01008327218351585
gCSI,0.02996691149432525,0.008137551045475686,0.010758846246255277,0.014210149737878859,0.014593089293135054
