src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.005675432365146599,0.012136576262421699,0.012703650643942901,0.013121417331945719,0.02474476712070591
CTRPv2,0.0017275237455911634,0.0022670076347563123,0.005504686041046396,0.005578504769167255,0.0166957778256933
GDSCv1,0.009891198642649762,0.005394806479585578,0.0034736466327275417,0.004814778710139239,0.004826558906756052
GDSCv2,0.012857194779082363,0.008958490751863696,0.0045672558237117005,0.004594408057406318,0.007025367431453771
gCSI,0.025045789986284102,0.00919664084313771,0.011270829949651949,0.017543558171014648,0.01270040573091469
