src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.7762,0.033,0.0379,0.0394,0.1617
CTRPv2,0.668,0.8748,0.3595,0.4534,0.5106
GDSCv1,0.5525,0.2348,0.79,0.3955,0.7101
GDSCv2,0.4044,0.1987,0.2652,0.7978,0.5858
gCSI,0.3015,0.0176,0.0902,0.0591,0.8575
