src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.000459793709249585,0.0007875672372438444,0.0008398010930461416,0.0012650783623255623,0.0033643500882961897
CTRPv2,0.0005431174434862362,0.00012852841766058782,0.000758239111504626,0.0006297218347625843,0.0037734685804393336
GDSCv1,0.0013305936984918732,0.0008165428278802042,0.00019852776991964355,0.00032313701027809595,0.0011486006949370422
GDSCv2,0.0010281484194169408,0.0005372205861724951,0.0007907496515607135,0.00016077598440748323,0.0009932775099748576
gCSI,0.001878496893995936,0.0030607237188107943,0.002731262699830583,0.0026722630806693326,0.0009735763535523328
