,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,1.0,0.5277777777777778,0.5604395604395604,0.5936170212765958,0.75
CTRPv2,0.9245742092457421,1.0,0.9047619047619048,0.902127659574468,0.9358974358974359
GDSCv1,0.7445255474452555,0.6861111111111111,1.0,1.0,0.8525641025641025
GDSCv2,0.6788321167883211,0.5888888888888889,0.8608058608058609,1.0,0.7660256410256411
gCSI,0.5693430656934306,0.40555555555555556,0.48717948717948717,0.5085106382978724,1.0
