src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.7895,-0.213,0.019,0.0435,-0.002
CTRPv2,0.5629,0.8489,0.092,0.2356,0.1765
GDSCv1,0.446,0.0198,0.7373,0.1937,0.3355
GDSCv2,0.1206,0.1325,0.125,0.7746,0.5251
gCSI,-0.0572,-1.1129,-0.4311,-0.5986,0.7586
