src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.011845532039642392,0.02803625988504088,0.022462759277803647,0.03736024079388209,0.042093536000461035
CTRPv2,0.01247287019140301,0.0027223109224554206,0.009555700743927567,0.016830643982956178,0.016438882761697263
GDSCv1,0.009886035676557341,0.015711425391422167,0.00449772236407551,0.013994756226086964,0.024911990780372664
GDSCv2,0.05629437372833983,0.019147996379450256,0.008693697701356135,0.0037159461588155175,0.0222444386527856
gCSI,0.026414686202542458,0.021565461886759216,0.013329752448711802,0.02079143796380403,0.010808132545733186
