src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0778,0.1837,0.1745,0.1686,0.182
CTRPv2,0.1075,0.0628,0.1505,0.1262,0.1463
GDSCv1,0.1111,0.1673,0.089,0.1446,0.1663
GDSCv2,0.1611,0.1573,0.1507,0.0751,0.1448
gCSI,0.1726,0.1929,0.183,0.1747,0.1
