src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.009776583195235231,0.01926139759795366,0.025316850215749163,0.04029861474796105,0.04344519304259714
CTRPv2,0.010390707606442727,0.002976539668648968,0.019893724545863425,0.01393770994625563,0.05427153373669927
GDSCv1,0.031235319180234162,0.01731200605844886,0.003838871865974165,0.006620040160705826,0.010796427178136206
GDSCv2,0.027136853972985032,0.016973260670023242,0.023517799494129136,0.0050378388669294,0.01275886874375977
gCSI,0.031069159568105593,0.014304797728023932,0.02015040068829365,0.022614502617299873,0.014349206147783577
