src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0061726990631367695,0.00233656414642547,0.0025657191283857965,0.0037315973837536904,0.007736698867696436
CTRPv2,0.0057913330749067805,0.0017851421255805687,0.004000692169595957,0.007266716512622632,0.005435714723511766
GDSCv1,0.02460374000436061,0.010196863088553613,0.003864820392744916,0.00314299336653944,0.0030216406334702653
GDSCv2,0.006662361048310873,0.0030533034783908957,0.0024851627865179024,0.004427312395463036,0.003488496848605836
gCSI,0.017389400934312012,0.0082157490175697,0.010813637852586313,0.009928654250232217,0.011235996117276468
