src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.009468838041783226,0.029461295909679993,0.04367655612806941,0.024864331435140805,0.03756112417439644
CTRPv2,0.011003354906669286,0.002164499637995903,0.007257008549547044,0.012627438594923029,0.019119568241741967
GDSCv1,0.013937841290187143,0.009344519692336684,0.003366268250197969,0.005433364753183485,0.015760605729659188
GDSCv2,0.019381722418106248,0.011445149619553953,0.006752871162851099,0.005443638505261409,0.019734893356082663
gCSI,0.06145528826864637,0.04759982575215234,0.03487313449460576,0.05424052951534336,0.012512498068576005
