src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.8115,0.0933,0.0624,0.1125,0.2729
CTRPv2,0.6315,0.8338,0.4305,0.5339,0.723
GDSCv1,0.5255,0.2618,0.7638,0.459,0.7662
GDSCv2,0.4042,0.263,0.3519,0.7918,0.7439
gCSI,0.2311,-0.0023,0.0962,0.1949,0.8791
