src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.012841621332571584,0.00164389777909661,0.002869722114959438,0.0032383982213205218,0.01199726791010307
CTRPv2,0.010642636972098345,0.002840502048276303,0.00510740648128831,0.009546674933817077,0.008167104937965224
GDSCv1,0.016556964609980386,0.009814524224973871,0.004072591430096596,0.006863020671160085,0.004800360424854714
GDSCv2,0.012780007923599042,0.004876810478286815,0.004085546024649197,0.0054035532844238406,0.00602259802775386
gCSI,0.016310632420825737,0.006292972951905798,0.007992768156691697,0.0054238547760759905,0.01304591481669661
