src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.018621592970126485,0.030624772752474053,0.020693161948941604,0.03293354835773002,0.0604141607879503
CTRPv2,0.016525169113472123,0.0024708762104118072,0.014903356798663059,0.01577520435605033,0.016042620008831554
GDSCv1,0.010648327994807767,0.01990270495472106,0.0046045318195901295,0.0074980085436065465,0.027359009914706703
GDSCv2,0.03884674182333671,0.015472776029431324,0.012165774946413709,0.007177107693532809,0.037143296176896504
gCSI,0.017298129233348617,0.025702884938192803,0.016877429220224498,0.026279240929466006,0.013234625114811662
