met,split,value,src,trg,model
r2,1,-1.2533572912385167,CCLE,CTRPv2,tcnns
r2,2,-1.7163537476114685,CCLE,CTRPv2,tcnns
r2,3,-1.3648407013428554,CCLE,CTRPv2,tcnns
r2,4,-0.16278244345100745,CCLE,CTRPv2,tcnns
r2,5,-0.871037226350146,CCLE,CTRPv2,tcnns
r2,6,-0.1557741347200663,CCLE,CTRPv2,tcnns
r2,7,-0.24236761755488057,CCLE,CTRPv2,tcnns
r2,8,-0.23997929566366305,CCLE,CTRPv2,tcnns
r2,9,-0.4896886981591484,CCLE,CTRPv2,tcnns
mse,0,0.027449243706467372,CCLE,GDSCv1,tcnns
mse,1,0.037057244018262187,CCLE,GDSCv1,tcnns
mse,2,0.04018869929696406,CCLE,GDSCv1,tcnns
mse,3,0.03751346336896592,CCLE,GDSCv1,tcnns
mse,4,0.027114288788530883,CCLE,GDSCv1,tcnns
mse,5,0.03549726174979644,CCLE,GDSCv1,tcnns
mse,6,0.028050643633360475,CCLE,GDSCv1,tcnns
mse,7,0.02857509936704664,CCLE,GDSCv1,tcnns
mse,8,0.028066444471269048,CCLE,GDSCv1,tcnns
mse,9,0.029476008136152143,CCLE,GDSCv1,tcnns
rmse,0,0.1656781328554477,CCLE,GDSCv1,tcnns
rmse,1,0.19250258184830193,CCLE,GDSCv1,tcnns
rmse,2,0.20047119318486648,CCLE,GDSCv1,tcnns
rmse,3,0.19368392646000834,CCLE,GDSCv1,tcnns
rmse,4,0.1646641697168236,CCLE,GDSCv1,tcnns
rmse,5,0.1884071701124892,CCLE,GDSCv1,tcnns
rmse,6,0.167483263741069,CCLE,GDSCv1,tcnns
rmse,7,0.16904170895683301,CCLE,GDSCv1,tcnns
rmse,8,0.16753042849365918,CCLE,GDSCv1,tcnns
rmse,9,0.1716857831509416,CCLE,GDSCv1,tcnns
pcc,0,0.168923693970243,CCLE,GDSCv1,tcnns
pcc,1,0.057116683001485244,CCLE,GDSCv1,tcnns
pcc,2,-0.015994960627124317,CCLE,GDSCv1,tcnns
pcc,3,0.03962279471416978,CCLE,GDSCv1,tcnns
pcc,4,0.17753042084516873,CCLE,GDSCv1,tcnns
pcc,5,0.027193716963785697,CCLE,GDSCv1,tcnns
pcc,6,0.14872448890217205,CCLE,GDSCv1,tcnns
pcc,7,0.1179456659744336,CCLE,GDSCv1,tcnns
pcc,8,0.13419869637457038,CCLE,GDSCv1,tcnns
pcc,9,0.10188143780105235,CCLE,GDSCv1,tcnns
scc,0,0.08896386500455854,CCLE,GDSCv1,tcnns
scc,1,0.009257823357807312,CCLE,GDSCv1,tcnns
scc,2,-0.014567644697617751,CCLE,GDSCv1,tcnns
scc,3,0.047093806015604305,CCLE,GDSCv1,tcnns
scc,4,0.09336766472405436,CCLE,GDSCv1,tcnns
scc,5,-0.022600736642818132,CCLE,GDSCv1,tcnns
scc,6,0.07426594979333247,CCLE,GDSCv1,tcnns
scc,7,0.04527968954053755,CCLE,GDSCv1,tcnns
scc,8,0.05329722585988027,CCLE,GDSCv1,tcnns
scc,9,0.04186718354469648,CCLE,GDSCv1,tcnns
r2,0,-0.025960900524901964,CCLE,GDSCv1,tcnns
r2,1,-0.38507580939250086,CCLE,GDSCv1,tcnns
r2,2,-0.502119131680228,CCLE,GDSCv1,tcnns
r2,3,-0.40212776247689885,CCLE,GDSCv1,tcnns
r2,4,-0.013441406256999855,CCLE,GDSCv1,tcnns
r2,5,-0.3267688909916524,CCLE,GDSCv1,tcnns
r2,6,-0.04843921785739291,CCLE,GDSCv1,tcnns
r2,7,-0.06804161865837854,CCLE,GDSCv1,tcnns
r2,8,-0.0490298003179912,CCLE,GDSCv1,tcnns
r2,9,-0.1017145745301824,CCLE,GDSCv1,tcnns
mse,0,0.02538784895206029,CCLE,GDSCv2,tcnns
mse,1,0.03618360138053453,CCLE,GDSCv2,tcnns
mse,2,0.04189917123477897,CCLE,GDSCv2,tcnns
mse,3,0.036077078125065415,CCLE,GDSCv2,tcnns
mse,4,0.023712927118994455,CCLE,GDSCv2,tcnns
mse,5,0.03346187893208541,CCLE,GDSCv2,tcnns
mse,6,0.025259342264488324,CCLE,GDSCv2,tcnns
mse,7,0.02630045459657723,CCLE,GDSCv2,tcnns
mse,8,0.025667664453961833,CCLE,GDSCv2,tcnns
mse,9,0.026883634072869055,CCLE,GDSCv2,tcnns
rmse,0,0.15933564871697825,CCLE,GDSCv2,tcnns
rmse,1,0.1902198764076313,CCLE,GDSCv2,tcnns
rmse,2,0.2046928705030514,CCLE,GDSCv2,tcnns
rmse,3,0.1899396696982108,CCLE,GDSCv2,tcnns
rmse,4,0.15399002279042123,CCLE,GDSCv2,tcnns
rmse,5,0.182925883712736,CCLE,GDSCv2,tcnns
rmse,6,0.15893187932094782,CCLE,GDSCv2,tcnns
rmse,7,0.16217414897750268,CCLE,GDSCv2,tcnns
rmse,8,0.16021131187891144,CCLE,GDSCv2,tcnns
rmse,9,0.1639622946682226,CCLE,GDSCv2,tcnns
pcc,0,0.1767614864450806,CCLE,GDSCv2,tcnns
pcc,1,0.04458958467001156,CCLE,GDSCv2,tcnns
pcc,2,-0.001604907753440036,CCLE,GDSCv2,tcnns
pcc,3,0.05399928024064107,CCLE,GDSCv2,tcnns
pcc,4,0.22502333303225017,CCLE,GDSCv2,tcnns
pcc,5,0.04290478875184501,CCLE,GDSCv2,tcnns
pcc,6,0.1699157620277179,CCLE,GDSCv2,tcnns
pcc,7,0.1421760461049556,CCLE,GDSCv2,tcnns
pcc,8,0.1542001183148494,CCLE,GDSCv2,tcnns
pcc,9,0.1476241849547238,CCLE,GDSCv2,tcnns
scc,0,0.12254867141082512,CCLE,GDSCv2,tcnns
scc,1,-0.006441743381647459,CCLE,GDSCv2,tcnns
scc,2,-0.012857591810223064,CCLE,GDSCv2,tcnns
