src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.025336656853794156,0.05660154980132759,0.06556332928449973,0.07434521137296579,0.11771843156799412
CTRPv2,0.02891941429065227,0.03572160437303206,0.014826161683451768,0.017915332293119833,0.03171428834946165
GDSCv1,0.026197914683732892,0.042591997448276124,0.03631724447945773,0.03878469626180995,0.015893243297162695
GDSCv2,0.04592267684457611,0.05977284755225411,0.02704843662517147,0.043716920542123096,0.01774197502658192
gCSI,0.04318329938130725,0.024545665441171736,0.03333396819530712,0.03372394450265338,0.03659466052186587
