src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0054,0.0253,0.0262,0.0224,0.0358
CTRPv2,0.0114,0.0032,0.0243,0.0179,0.0295
GDSCv1,0.0144,0.0205,0.007,0.0189,0.0238
GDSCv2,0.0228,0.0181,0.0234,0.0053,0.017
gCSI,0.0275,0.0441,0.0383,0.0375,0.0086
