src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.018195269749148,0.0409364644433178,0.0152708398805889,0.016078674079801,0.0362942590343278
CTRPv2,0.0286292032777243,0.0037309871745424,0.0164549592923204,0.0339339681042247,0.0304598516964912
GDSCv1,0.1323641917641888,0.0435475779763403,0.0056982542024081,0.0565003093863311,0.0658660872820153
GDSCv2,0.0287786503287296,0.0181341460734835,0.0161813549913205,0.0103683494346901,0.0251564436121005
gCSI,0.1067246399673314,0.2380469756536278,0.1309147369602441,0.1477418587632624,0.022676272442123
