src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0176241600931028,0.037720544219697,0.0313889553714881,0.0539093594071032,0.0940624247124967
CTRPv2,0.0209079412674448,0.0055605627989138,0.0283404413604735,0.0268346228405267,0.1055007935967504
GDSCv1,0.051222760809018,0.0391083305523486,0.0071045231795405,0.0137699843295049,0.0321132354115233
GDSCv2,0.03957977602303,0.0257301877454523,0.0295555765863898,0.0084784700902992,0.0277706209367593
gCSI,0.0723149351982476,0.1465934067848127,0.1020854625013966,0.1138743615702309,0.0294518029097048
