src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0225274539384105,0.172746613687469,0.0625894381818502,0.0973930296550631,0.0595831521246359
CTRPv2,0.0167383260836025,0.0046805960673451,0.0180392552713551,0.0346442602342382,0.0353810180774676
GDSCv1,0.0282213949811051,0.0832034920433176,0.0079609638199261,0.062702250040172,0.0666258516102638
GDSCv2,0.0887692688928532,0.0618222995968898,0.0156261233385862,0.0072236153787561,0.0463168743590778
gCSI,0.0969210331484036,0.1229180398272215,0.0537048848916502,0.0667009544742763,0.020393671340243
