src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.7565,-0.2701,-0.1228,-0.112,-0.0349
CTRPv2,0.5784,0.8321,0.1547,0.2606,0.0354
GDSCv1,0.2926,-0.279,0.7218,0.0727,0.1679
GDSCv2,0.0001,-0.1142,0.1132,0.7683,0.3077
gCSI,-0.3929,-1.7076,-0.8219,-0.9301,0.7113
