,gCSI,CCLE,GDSCv2,GDSCv1,CTRPv2
deepcdr,412.1670454545455,408.8675030073896,509.0909090909091,483.203125,615.1272727272727
deepttc,408.8675030073896,415.3409090909091,452.7590909090909,548.9772727272727,736.9034090909091
graphdrp,405.0718841206356,415.3409090909091,483.203125,509.0909090909091,548.9772727272727
hidra,406.06060606060606,412.1670454545455,443.36589030803907,509.0909090909091,615.1272727272727
lgbm,412.1670454545455,443.36589030803907,483.203125,548.9772727272727,1000.0
tcnns,400.090884659549,400.89053803339516,400.63794378698225,400.89053803339516,400.0
uno,407.296,436.2215909090909,509.0909090909091,509.0909090909091,548.9772727272727
