,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
deepcdr,-0.2934456195325761,0.4407432515715518,0.18349666240590823,0.12409503751480847,-0.5163979988882712
deepttc,-0.04829005699810006,0.314230180233243,0.3373796283737963,0.29150529305447975,-0.7249538623780648
graphdrp,-0.44904863995712174,0.3715781469349555,0.31138377641445125,0.2514044943820225,-0.7559111292295149
hidra,-0.17838730998017188,0.30918759764451387,0.08804377944028817,0.09983079526226735,-1.3540348657387882
lgbm,-0.7137197404542052,0.5652742346938775,0.48675305975521954,0.10669414998036905,-0.7225882804503583
tcnns,-0.5180192962542566,0.3629032258064516,0.492384682332463,0.22338784325825362,-0.5593686526743399
uno,-0.332181886697651,0.5209944094207208,0.48053486797562617,0.32514842540010325,-0.9016218661152753
