,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,1.0,-0.8096357226792009,-0.1809635722679201,-0.27888758323540935,0.09570440005222614
CTRPv2,0.6844570442499692,1.0,0.18858621964747935,0.3954147664242573,0.4945149759645014
GDSCv1,0.7450646215026274,-0.48473228234625765,1.0,0.1533873029399233,0.3202670075273399
GDSCv2,-0.001842832697117283,-0.24351717783335525,0.19823614584704488,1.0,0.5435040147426615
gCSI,-0.20664257921067258,-1.0883824346859365,-0.3514452473596443,-0.4191217342968315,1.0
