,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,1.0,-1.0258761462127872,-0.20097977640999873,-0.3421680693380228,0.24029644517020474
CTRPv2,0.7503271083620793,1.0,0.2997502081598668,0.5083858689187581,0.5255144522421792
GDSCv1,0.7783344617467839,0.0851726472579553,1.0,0.4411645226811103,0.6174678402166554
GDSCv2,0.31763035622096025,0.023748064016520392,0.24419204956117707,1.0,0.7150232318017553
gCSI,-0.28250193848539673,-1.9197467045748255,-0.7021194107004394,-0.7021194107004394,1.0
