,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,1.0,-0.3570389953734303,-0.16232650363516196,-0.14805023132848646,-0.04613350958360873
CTRPv2,0.6951087609662301,1.0,0.18591515442855427,0.31318351159716384,0.04254296358610744
GDSCv1,0.40537545026323085,-0.3865336658354115,1.0,0.10072042116929898,0.23261291216403435
GDSCv2,0.00013015749056358194,-0.14863985422361056,0.14733827931797475,1.0,0.4004945984641416
gCSI,-0.5523689020104035,-2.400674820750738,-1.155489947982567,-1.307605792211444,1.0
