src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.002830418460922517,0.002252678576509138,0.00235082934889358,0.0036928167990497992,0.007621617976861667
CTRPv2,0.002651047110034304,0.0011550586939950102,0.0025119625633707385,0.0024518167007876704,0.011594108398751794
GDSCv1,0.005644207138844696,0.0026493542776039034,0.001176532308201656,0.0011772004012808083,0.003941080942747299
GDSCv2,0.003800479486144413,0.0018199448264048493,0.0026013416059847234,0.0010872053976056578,0.0033809002877210116
gCSI,0.005983950220121322,0.007273084605836253,0.006862219654091548,0.006657594308835079,0.005027878812531669
