src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0066,0.0306,0.0322,0.0304,0.0492
CTRPv2,0.0105,0.003,0.0226,0.0166,0.0277
GDSCv1,0.0134,0.0245,0.0071,0.0189,0.0212
GDSCv2,0.0186,0.0217,0.023,0.0055,0.0219
gCSI,0.0247,0.0442,0.0393,0.0397,0.0094
