src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0717,0.2085,0.2036,0.1901,0.1999
CTRPv2,0.1071,0.0672,0.1394,0.1154,0.1325
GDSCv1,0.1168,0.1462,0.0904,0.1236,0.1264
GDSCv2,0.1626,0.169,0.1499,0.0744,0.1264
gCSI,0.1606,0.2195,0.2,0.1852,0.0882
