src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.06683210343346416,0.028625427339067287,0.04012959537712463,0.05991217344293524,0.05204224375078027
CTRPv2,0.030003895725866946,0.042057541623704904,0.01289309405464381,0.019217930735649234,0.052025716666266764
GDSCv1,0.02535989617608601,0.033799304763068416,0.044299570894183966,0.03391010850057361,0.012289233926130357
GDSCv2,0.02452251204539212,0.037217538069556994,0.025954516791839303,0.05004581166305022,0.031566104906817286
gCSI,0.025756418525789727,0.018195683393768133,0.025209015324354142,0.018910189141014593,0.029018398726794705
