src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.01862159297012648,0.030624772752474074,0.02069316194894159,0.032933548357730026,0.06041416078795029
CTRPv2,0.016525169113472144,0.0024708762104117495,0.014903356798663045,0.015775204356050346,0.016042620008831537
GDSCv1,0.01064832799480774,0.019902704954721025,0.0046045318195901295,0.007498008543606557,0.02735900991470673
GDSCv2,0.03884674182333673,0.015472776029431345,0.012165774946413733,0.007177107693532814,0.03714329617689653
gCSI,0.017298129233348617,0.025702884938192803,0.016877429220224498,0.026279240929466006,0.0132346251148117
