src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.022557488966192685,0.031115607087448875,0.027453888056117714,0.018424301221648124,0.05662204011669283
CTRPv2,0.015151958118672659,0.002515143586211573,0.008081356445211518,0.01334483049376863,0.020774581468665055
GDSCv1,0.01564285118146042,0.005378309985557527,0.0033982884142951557,0.009223571562742432,0.01844183558363351
GDSCv2,0.022640671157773132,0.007129074355134908,0.008395404799147072,0.005916737743840528,0.028572735329712707
gCSI,0.058624339382277145,0.03950627176165615,0.02326869644884346,0.03454320211849365,0.010317003836070544
