src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0873,0.1843,0.1781,0.1726,0.2148
CTRPv2,0.1323,0.0865,0.1517,0.1286,0.1721
GDSCv1,0.1302,0.1443,0.1065,0.1288,0.1346
GDSCv2,0.1576,0.1363,0.1521,0.0907,0.1591
gCSI,0.1631,0.201,0.1777,0.1659,0.1205
