src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.8756,0.0686,0.1214,0.1017,0.2503
CTRPv2,0.7906,0.9252,0.4716,0.6034,0.5856
GDSCv1,0.7042,0.3493,0.8578,0.5949,0.7246
GDSCv2,0.5756,0.3364,0.4155,0.8777,0.6566
gCSI,0.4318,0.08,0.1663,0.1707,0.8621
