src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.01284162133257156,0.00164389777909661,0.002869722114959438,0.0032383982213205218,0.011997267910103051
CTRPv2,0.010642636972098352,0.0028405020482762692,0.005107406481288363,0.009546674933817034,0.008167104937965252
GDSCv1,0.01655696460998039,0.009814524224973873,0.004072591430096642,0.006863020671160065,0.004800360424854687
GDSCv2,0.012780007923599025,0.004876810478286848,0.004085546024649197,0.0054035532844238544,0.0060225980277539126
gCSI,0.016310632420825758,0.006292972951905817,0.007992768156691697,0.005423854776075988,0.01304591481669658
