src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.019689643492505512,0.20931050160545575,0.0518322433669158,0.05227411115879805,0.08607775189134978
CTRPv2,0.016245662899525556,0.004612697289964626,0.01166280787214257,0.025262080541919633,0.04639342804799887
GDSCv1,0.06397196307339365,0.04135234145817823,0.007076547456248719,0.039060389032394636,0.08374784411571264
GDSCv2,0.03879499245635467,0.04437483076525776,0.011250129192801975,0.010807774443627972,0.034659548199061155
gCSI,0.3327559479842692,0.9922575498308166,0.5711909329099315,0.6250593758149334,0.027126658676585744
