src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.017909633868020976,0.010630948487430396,0.015891317428123344,0.014188982915927328,0.03242247356688066
CTRPv2,0.004841722309350594,0.0038325127222278376,0.003486571337193547,0.003133591408355264,0.019061586207030485
GDSCv1,0.009012883405724436,0.00585675762998596,0.003928749944859192,0.004893819131624234,0.004079020070445267
GDSCv2,0.020171736884935114,0.005763112873481307,0.005115000580291227,0.005498517436885445,0.010083272183515842
gCSI,0.029966911494325267,0.008137551045475686,0.010758846246255277,0.014210149737878845,0.014593089293135061
