src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0727,0.1946,0.1761,0.1727,0.17
CTRPv2,0.0979,0.0577,0.1415,0.1159,0.1413
GDSCv1,0.1051,0.1399,0.0836,0.1258,0.1395
GDSCv2,0.1399,0.1431,0.1473,0.0727,0.1263
gCSI,0.1779,0.2275,0.203,0.19,0.0897
