src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.0014609741520533557,0.0077290293906964996,0.005447392070267994,0.005090717041167593,0.004806227401181645
CTRPv2,0.0010665580620705317,0.0009572156443734519,0.0007639405095177587,0.0010492444821483826,0.0033634323158558913
GDSCv1,0.0018128879331999657,0.0017702254992535392,0.0009605995750647996,0.001212997925393499,0.0029761636696011002
GDSCv2,0.001551981439681516,0.0017041200217725798,0.0007722901648735365,0.0007483758256239221,0.0017079108129486628
gCSI,0.002761186507154917,0.012532189459078785,0.009637935346935338,0.01104901186119231,0.0040181675901630335
