src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.04893188769583757,0.5860497948096947,0.18849910216984705,0.2672987267644604,0.4182350938817944
CTRPv2,0.08398911075278591,0.06328377540655276,0.025153697494434607,0.04046845488556492,0.1044444099652146
GDSCv1,0.032446464130597465,0.12284492783455331,0.049300020839631344,0.055255146206000055,0.021367500625493103
GDSCv2,0.026550959876849852,0.08091108851293458,0.01843788226538039,0.05210580936577932,0.045897712979330256
gCSI,0.08585188645911712,0.21359815994840292,0.07476361529033208,0.09256406749405141,0.061007209494900974
